customer_code,customer,net_error,net_error_prcnt,abs_error,abs_error_prcnt,forecast_accuracy
90013120,Coolblue,23985,17.9620,70467,52.7716,47.2284
70010048,"Atliq e Store",22571,15.8940,75711,53.3139,46.6861
90023027,Costco,43773,15.6353,149303,53.3297,46.6703
90023026,Relief,44504,16.2725,146948,53.7303,46.2697
90017051,"Forward Stores",31244,26.4629,63568,53.8406,46.1594
90017058,Mbit,23335,21.1761,59473,53.9707,46.0293
90023028,walmart,44242,15.6154,153058,54.0224,45.9776
90023024,Sage,40836,14.2170,155610,54.1755,45.8245
90013124,"Amazon ",25218,18.5268,73826,54.2376,45.7624
90015146,Mbit,63355,30.0964,114189,54.2448,45.7552
90017054,"Flawless Stores",30327,26.4407,62483,54.4761,45.5239
70027208,"Atliq e Store",13608,28.7568,25784,54.4874,45.5126
90015147,Chiptec,68970,30.8085,122100,54.5413,45.4587
80001019,Neptune,161269,12.6461,695779,54.5603,45.4397
90015144,Sound,65563,29.0568,123257,54.6262,45.3738
90009130,"Logic Stores",6885,6.2491,60225,54.6630,45.3370
90015149,UniEuro,70414,33.1360,116172,54.6692,45.3308
90021088,Electricalslytical,99339,30.6896,176975,54.6744,45.3256
90017050,"Electricalsara Stores",29416,25.6487,62760,54.7224,45.2776
70013125,"Atliq Exclusive",21770,17.6378,67546,54.7250,45.2750
90021094,Coolblue,92855,30.8113,165043,54.7648,45.2352
70009134,"Atliq e Store",7044,6.3579,60726,54.8113,45.1887
90013118,Fnac-Darty,24442,19.3540,69242,54.8282,45.1718
70017060,"Atliq e Store",30819,25.5242,66285,54.8971,45.1029
70023031,"Atliq Exclusive",52183,18.2269,157171,54.8979,45.1021
90023025,"Premium Stores",45543,17.0989,146235,54.9031,45.0969
90013122,"Radio Popular",22770,18.4349,67822,54.9095,45.0905
90017053,"Info Stores",27591,24.6921,61373,54.9248,45.0752
90017059,"Amazon ",26326,23.0618,62720,54.9433,45.0567
90023022,"Nomad Stores",39704,14.9891,145544,54.9459,45.0541
90002007,Girias,32531,4.1773,427909,54.9477,45.0523
90001021,Taobao,38245,12.8356,163923,55.0151,44.9849
90017049,"Premium Stores",29671,26.4381,61825,55.0887,44.9113
90017052,Power,33207,27.2848,67149,55.1736,44.8264
90015148,Boulanger,59915,27.2209,121545,55.2209,44.7791
90013123,Expert,25739,19.8771,71533,55.2417,44.7583
90017056,Sorefoz,31602,26.2894,66408,55.2442,44.7558
90013119,"Argos (Sainsbury's)",25815,19.7606,72241,55.2982,44.7018
90017055,"Electricalslance Stores",31870,26.5387,66428,55.3156,44.6844
90002012,Electricalsocity,42550,5.3695,438508,55.3365,44.6635
90013116,"Unity Stores",24931,18.5991,74251,55.3930,44.6070
90021087,"Logic Stores",108596,33.9652,177210,55.4254,44.5746
90021095,"Amazon ",95301,30.3207,174357,55.4729,44.5271
90021093,"Chip 7",91330,30.8294,164418,55.5011,44.4989
90021086,"Electricalsquipo Stores",87794,29.4273,165718,55.5463,44.4537
90021090,"Radio Popular",88044,29.5495,165738,55.6254,44.3746
90025209,"Electricalsbea Stores",2250,14.5839,8582,55.6261,44.3739
90002001,"Reliance Digital",28326,3.9137,402842,55.6599,44.3401
90002010,Ebay,20379,2.7834,407849,55.7039,44.2961
70015152,"Atliq e Store",64994,29.0833,124698,55.7995,44.2005
90001020,Zone,28478,8.9699,177384,55.8718,44.1282
90009127,"Epic Stores",8575,7.5384,63569,55.8843,44.1157
90002003,Ezone,26876,3.5213,426568,55.8892,44.1108
90027207,"Amazon ",12254,27.4704,24994,56.0303,43.9697
90021089,"Atlas Stores",98741,32.4441,170577,56.0478,43.9522
90009131,Path,9075,7.8710,64637,56.0613,43.9387
90009132,"Amazon ",7628,6.5759,65044,56.0729,43.9271
70010047,"Atliq Exclusive",18787,13.9220,75769,56.1481,43.8519
90015150,"Amazon ",63272,30.2105,117634,56.1668,43.8332
70023032,"Atliq e Store",39506,13.9176,159492,56.1876,43.8124
90023023,Amazon,70162,15.8973,248034,56.1994,43.8006
90010045,Control,15542,12.1237,72048,56.2019,43.7981
90023030,"Amazon ",29975,11.5275,146207,56.2270,43.7730
90023029,Staples,46783,17.4114,151163,56.2588,43.7412
90013117,Euronics,23396,18.7749,70112,56.2638,43.7362
90021092,UniEuro,101232,31.2866,182072,56.2710,43.7290
70013126,"Atliq e Store",21504,17.1604,70542,56.2931,43.7069
90017057,Euronics,30661,26.9621,64027,56.3028,43.6972
90009128,Propel,11880,10.0418,66964,56.6028,43.3972
70002018,"Atliq e Store",41476,5.5840,420936,56.6719,43.3281
90002005,Lotus,18506,2.5366,413684,56.7029,43.2971
90013121,Boulanger,19686,16.0946,69356,56.7032,43.2968
90021091,Expert,91755,29.6064,175777,56.7176,43.2824
90011186,Elite,4246,2.0370,118278,56.7447,43.2553
90020097,"Atlas Stores",780,2.4736,17902,56.7723,43.2277
90010044,"Surface Stores",21078,15.2591,78474,56.8101,43.1899
90020098,"Electricalsquipo Stores",1820,5.7566,17962,56.8130,43.1870
90002006,Viveks,20576,2.7702,423136,56.9682,43.0318
70009133,"Atliq Exclusive",9055,8.2572,62523,57.0143,42.9857
90002004,"Vijay Sales",34335,4.2731,458183,57.0223,42.9777
70015151,"Atliq Exclusive",64470,29.8966,123112,57.0907,42.9093
90011185,"Epic Stores",3339,1.6651,114581,57.1379,42.8621
90015145,Synthetic,67769,33.0987,117061,57.1732,42.8268
70021096,"Atliq e Store",96219,30.4044,180985,57.1898,42.8102
90002002,Croma,45046,5.9634,432224,57.2202,42.7798
90010046,"Amazon ",19203,14.7956,74317,57.2599,42.7401
70002017,"Atliq Exclusive",43543,5.9749,417293,57.2606,42.7394
